Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Line Engineer Trainee,"Pimpri-Chinchwad, Maharashtra",Full Time,Anyway Department,04-Oct-22,5,5,3,4,3,5,3,I am very much happy for working in tata motors.company culture very nice and I very very miss you...,"The management is a bit idle, they think of themselves without thinking of the factory..all they are doing is to pay 8 hours and go home. Tata is only and only because of the workers."
Senior Manager,Pune,Full Time,Technology / IT Department,02-May-23,5,5,5,5,5,5,5,Work culture,Apprisals are not happening as per the caliber
Operations Executive,"Pune, Maharashtra",Full Time,Engineering Department,04-Jan-23,4,5,5,3,5,4,2,"Great learning and much exposure.
Good facilities for employees",Promotion policies are very very slow
Service Advisor,"Jaipur, Rajasthan",Full Time,"Operations, Maintenance & Support Department",05-Feb-23,5,5,5,5,5,5,5,Tata motor vehicle manufacturing like and good service,No
State Service Coordinator,"Allahabad/Prayagraj, Uttar Pradesh",Contractual,After Sales Service & Repair Department,05-Mar-23,5,5,3,3,3,5,2,Culture is good,Promotion is very lengthy process
Analyst   (working remotely),,Full Time,Software Development Department,06-May-23,5,5,5,5,5,5,5,EVERYTHING,NOTHING IS BAD HERE
Welder,"Lucknow, Uttar Pradesh",Full Time,"Operations, Maintenance & Support Department",23-Mar,5,3,5,5,5,5,5,I am amazing tata motors,I am important tata motors
Purchase Executive Trainee,"Pantnagar, Uttarakhand",Full Time,Procurement & Purchase Department,04-Dec-22,3,3,5,5,5,3,3,Good environment  & skill development,We dislike the shut down plan & Block closure of maximum  times...
Senior Manager,Pune,Full Time,Engineering & Manufacturing Department,23-May,4,3,2,3,5,2,1,Job sequrity,Working in shifts
Senior Manager,"Pune, Maharashtra",Full Time,Engineering & Manufacturing Department,06-Apr-23,5,5,5,4,5,5,5,Culture,Payment hike not much
Manufacturing Engineer   (working remotely),,Full Time,Engineering Department,09-Mar-23,5,5,5,5,5,1,5,Employees supported in critical condition,In working  team sometimes  not  unity
Quality Engineer,Jamshedpur,Full Time,Quality Assurance and Testing Department,05-Jan-23,5,5,5,5,5,5,5,All thing are best over all except 100 % right,No not at all all the information given good
Salesman,"Ashok Nagar, Madhya Pradesh",Full Time,Sales Support & Operations Department,05-May-23,5,5,5,5,5,5,5,Very best company for youth,Some
Senior Manager,Pune,Full Time,Software Development Department,23-Jun,4,4,4,3,5,4,3,Free Food,Things Move slowly
Senior Manager,"Jamshedpur, Jharkhand",Full Time,Operations Department,09-Feb-23,5,5,5,5,5,5,5,Environment is very supportive and good,New product stock is good going
Data Entry Operator And Supervisor,"Panchla, West Bengal",Full Time,Back Office Department,03-Mar-23,3,2,3,1,5,4,1,Working process,There is poor priority for perfect person
Bodyshop Advisor,Goa Verna,Full Time,After Sales Service & Repair Department,04-Jun-23,5,5,5,5,5,5,5,"Best DMS, freedom of decision",Nothing
Content Writer   (working remotely),,Contractual,Category Management & Operations Department,06-Feb-23,5,3,3,4,5,5,4,It's a working culture.,Slow perks benefits and promotion.
Civil,Noida,Full Time,Construction Engineering Department,03-May-23,5,5,5,5,5,5,5,Civil work,Psand Hai  job  yes
Operations Executive,Mumbai,Full Time,After Sales Service & Repair Department,01-Apr-23,5,4,4,3,5,4,4,"Job security, good perks",Compensation
Senior Manager Service (CVBU),Pune,Full Time,Non Voice Department,08-Feb-23,1,1,4,1,2,2,1,Nothing is so happening in terms of growth,All parameters related to timeline of work and culture
Senior Manager Tata Motor ERC,Pune,Full Time,Engineering Department,02-Feb-23,4,4,2,3,5,1,3,"Big Campus, So you can roam here and there, Government kind of job","Work culture, babu culture, and zero process."
Senior Manager,Pune,Full Time,"Operations, Maintenance & Support Department",07-Feb-23,3,1,3,3,5,3,2,Job security,"Primitive working standard 
Persistence to change"
Account Assistant,"Lucknow, Uttar Pradesh",Part Time,Administration Department,02-Aug-23,5,1,5,5,3,5,2,Like my job,I love my job
Mechanical Engineer,New Delhi,Full Time,Engineering Department,09-Jun-23,5,4,5,4,5,5,4,"Friendly nature , cooperation",Working hours
Electrical Service Engineer,Pantnagar,Full Time,Engineering Department,03-Jan-23,5,4,5,4,4,5,4,Learning from seniors and Work satisfaction and company culture is good,"1. JOB ROLE 
2. POLICIES
3. PRODUCT"
Customer Experience Manager,"Muzaffarpur, Bihar",Full Time,Customer Service Department,02-Dec-22,3,3,3,3,1,1,2,"1. Work culture
2. Services 
3. Security",Job secured
Service Engineer,New Delhi,Full Time,"Operations, Maintenance & Support Department",06-Sep-23,4,4,4,4,4,5,3,Promotion so late,Good companies but no full time  permanent
ASSLY & CNC VMC HMC Operator,Pune,Full Time,Engineering & Manufacturing Department,08-Sep-23,3,1,4,2,2,4,1,Not onroll job,wfwafaf wf wfw fw awfwafasd sdf safwafa w
Swdw   (working remotely),,Part Time,Banking Operations Department,05-May-23,3,4,4,4,3,3,4,wafwafwffwffwfwwf w wfwfw wf awfawf awfaw,
Executive At Tata Motors (seabird Logisolutions Ltd.),Lucknow,Full Time,SCM & Logistics Department,07-Jun-23,5,5,5,5,5,5,5,Working culture are good.,Behavior not good with any person.
Dgm Safety,"Ahmedabad, Gujarat",Full Time,Occupational Health & Safety Department,08-Apr-23,5,5,5,5,5,5,5,Work culture Freedom to drive new initiatives,Nothing
Data Entry Jobs   (working remotely),,Part Time,Back Office Department,09-Mar-23,5,5,5,5,5,5,5,I like working tata motors,No I like working tata motors
Senior Sales Manager,"Udaipur, Rajasthan",Full Time,BD / Pre Sales Department,08-Nov-22,5,3,4,3,5,4,3,"They won't fire you even if the product line is not doing good 
They invest in you and try to get solutions in coming months",Review mechanism
General Manager,"Jodhpur, Rajasthan",Full Time,Sales Support & Operations Department,06-Jul-23,5,4,5,4,3,4,5,I learn more about auto industry,Nothing
Officer,"Jamshedpur, Jharkhand",Full Time,Engineering Department,05-Mar-23,5,5,5,5,5,5,5,Good place to work,No I do not feel anything bad about tata motors.
Quality Checker,"Sanand, Gujarat",Part Time,Production & Manufacturing Department,04-Mar-23,4,4,5,3,5,5,3,Management types of working and improvement,Working method and seniors are disrespect to contractor employee
Dt Engineer,"Pimpri-Chinchwad, Maharashtra",Full Time,,03-Dec-22,5,4,5,3,2,4,4,Tata Motors is an amazing company for production engineer in this company I lern lot of activity lerne form college,The job security & payment is not good as expected....
Associate Engineer,"Jamshedpur, Jharkhand",Full Time,Stores & Material Management Department,06-Jun-23,5,5,5,5,5,5,5,"raghwendra Kumar Gupta
All to work is good",Not
Warranty Executive,Lucknow,Full Time,Hardware Department,08-Apr-23,4,4,4,3,3,4,4,Warranty executive,Kuch nhi
Senior Cae Engineer,"Pune, Maharashtra",Full Time,"BFSI, Investments & Trading Department",05-Feb-23,4,4,3,4,4,4,4,Good work culture and legacy,Not a dynamic decision
Key Account Manager,Mg Road Bangalore,Full Time,Life Insurance Department,07-Feb-23,5,5,5,5,5,5,5,You will like everything,Every where you can see some dislike but why to be considered..
Area Sales Manager   (working remotely),,Full Time,Sales Support & Operations Department,05-May-23,4,4,4,4,4,4,4,Everything is great about the company,Nothing bad about this company
Gm Hr Administrator,Pune,Full Time,HR Operations Department,07-Feb-23,5,5,5,5,5,5,5,Culture is the most important thing i like,There is nothing particular that i dislike
Sales Advisor,"Faridabad, Haryana",Full Time,Sales Support & Operations Department,04-Jun-23,5,5,5,5,4,5,3,Overall good experience,On dealership
Line Engineer Trainee,"Chikhli, Maharashtra",Full Time,Quality Department  Department,03-Dec-22,5,5,5,4,5,5,3,Tata motors is the best ever company the all staff are supportive tata motors culture are very Good And tata motors employees are very friendly to each and every person,Nothing tata motors is the best company for work experience
Line Maintenance Operator,Pune,Full Time,"Operations, Maintenance & Support Department",09-Apr-23,5,3,5,2,2,5,1,"Working of tata motors culture
Cleanliness at shop floor 
Working life",Discrimination between permanent and temporary workers
Junior Engineer Electrical   (working remotely),,Part Time,Construction Engineering Department,03-Mar-23,5,5,5,5,5,5,5,I am very interested our company.as a worker.,I don't pressure of work.
Executive,Pantnagar,Full Time,Production & Manufacturing Department,05-Apr-23,5,5,5,4,5,5,5,Working environment is very calm.,Salary as per role
Graduate Apprentice Trainee,"Sanand, Gujarat",Contractual,Powertrain planning Department,03-Feb-23,3,3,2,3,2,2,3,Bad HR policies. Even well performed trainees have to discontinue after 1 year.,
Pmc Engineer,Mumbai,Contractual,Engineering Department,08-Apr-23,4,2,2,2,2,3,2,On role job is like govt,Bosses are worst only want work
TCF Passenger Vehicles,"Gorakhpur, Uttar Pradesh",Full Time,IT Network Department,07-Apr-23,5,5,5,5,5,5,5,Teamwork is our common role within Tata Motors,I don't like sitting empty inside Tata Motors
Production Executive,"Pune, Maharashtra",Full Time,,07-Oct-22,3,4,3,3,5,5,2,"Company culture, Work life balance, supportive team members","Poor appraisal policy, poor salary hike, Worst management and policies about confirmation"
Senior Electrician   (working remotely),,Full Time,After Sales Service & Repair Department,05-May-23,5,5,5,5,5,5,5,My working experience 4 years ago in Tata motors Ltd pvt services engineer and electronic......,Salary
Service Engineer,"New Delhi, Delhi",Full Time,"Operations, Maintenance & Support Department",06-Jan-23,4,3,4,4,3,4,2,Work culture is different as per operations..,Current Management
Senior Manager- HCV Sales,"Bhubaneswar, Odisha",Full Time,Sales & Marketing Department,05-Dec-22,3,2,4,3,3,3,2,Hierarchy is approachable most of the time,Biased decisions about appraisal and Work life balance is poor.
Rohtak,"Rohtak, Haryana",Intern,Payroll & Transactions Department,04-Feb-23,5,5,5,5,5,5,5,Working environment and people was helping.,Nothing be dislikes thing
Diploma Engineer,"Pune, Maharashtra",Full Time,Procurement & Purchase Department,07-Dec-22,5,4,4,5,5,4,5,"All in the team will support for any query and give solution.
Working in team.",Temporary workers have no chance to get permanent.
Seles Executive,Jamshedpur,Part Time,Back Office Department,08-Feb-23,5,5,4,4,4,4,5,It's good and most important think is that all employees very helpful,I think they force to work more time
Incharge   (working remotely),,Full Time,,07-Jan-23,3,3,3,3,4,4,4,Working is good bt employees communication is not good,All communication is not proper
Engineer,Pune,Full Time,Engineering Department,03-Feb-23,5,5,5,3,1,5,3,Yes I like to work with tata motors,Nathing
Execution Engineer,"Pune, Maharashtra",Contractual,Construction Engineering Department,05-Jan-23,5,4,4,4,4,4,4,Working atmosphere is good.Salery given on time.,Food is not good enough.
Accessories Executive,Brokefield,Full Time,Enterprise & B2B Sales Department,04-Jan-23,5,5,5,5,5,5,5,Work environment is good and employees are friendly nature,Nothing
Professional Fixed Training,Pune,Full Time,Engineering Department,09-Mar-23,5,5,5,5,5,5,5,yes i want working in Tata motors,No i don't want to dislike
L2 Network Engineer,Jamshedpur,Full Time,Technology / IT Department,07-Apr-23,5,5,5,5,5,5,5,time management,Still we are not getting anything
Hr Assistant,"Sanand, Gujarat",Full Time,Compensation & Benefits Department,09-Mar-23,5,5,5,3,5,5,2,Good culture,Temporary job
Deputy General Manager,Pune,Full Time,Construction / Manufacturing Department,07-Jun-23,5,5,5,4,5,5,5,Freedom of doing work,All good
Merchandiser,New Delhi,Full Time,Service Delivery Department,08-Jun-23,5,5,5,5,5,5,5,Better than onther company,Nothing
Mechanical Engineer   (working remotely),,Full Time,Engineering Department,01-May-23,5,2,2,2,2,2,1,like,dislike dislike dislike dislike dislike
Deputy Manager,"Dharwad, Karnataka",Full Time,SCM & Logistics Department,07-Mar-23,5,5,5,5,5,5,5,Good for work,Good
Sr Territory Sales Manager,"Ahmedabad, Gujarat",Full Time,Retail & B2C Sales Department,04-Apr-23,4,4,2,5,4,3,4,It's diversity and good levels of hierarchy,No fixed working hours have to work on Saturdays also
Senior Manager,Jamshedpur,Full Time,,02-Jan-23,4,5,5,4,5,5,4,Supportive Top Management,Salary structure not in line with what other automotive companies are providing
Assistant Officer Hr,"Sanand, Gujarat",Contractual,Employee Relations Department,04-Apr-23,4,4,3,3,5,5,3,A good and supporting staff,Time management
Collections Executive,"Lucknow, Uttar Pradesh",Full Time,Banking Operations Department,06-Jun-23,5,4,4,4,5,4,3,Good,Time management very bad
Senior Manager,"Pune, Maharashtra",Full Time,Production Department,04-Feb-23,3,1,5,3,1,2,1,Good transport facility and good insurance scheme,Too much blame culture.
Dgm,"Lucknow, Uttar Pradesh",Full Time,Production & Manufacturing Department,04-Jan-23,5,5,5,3,5,4,3,Good place to work,Fast paced growth culture
Meter Reader   (working remotely),,Full Time,Mining Department,08-Apr-23,4,4,4,5,4,4,4,Hello,Arun Kumar sah
Logistics Operations Executive,Pune,Full Time,SCM & Logistics Department,04-Mar-23,5,4,5,4,5,5,5,Sequrity alert working most like this TATA motors,Management
Senior Manager Project Management,Lucknow,Full Time,Project Management Department,03-Mar-23,5,5,5,5,5,5,5,Great exposure for learning,Work life balance is low.
Sales Executive,Pune,Full Time,Retail & B2C Sales Department,07-Jan-23,4,4,2,2,3,3,3,Working is ok,Delarship not paying good salary ex person
Senior Manager,Pune,Full Time,Technology / IT Department,04-Apr-23,4,4,3,4,4,4,3,Good work culture,No plans
Dgm,Jamshedpur,Full Time,"Operations, Maintenance & Support Department",04-Dec-22,5,4,4,4,3,4,3,Culture credo on training and safety of employees are excellent,Nothing as such
Fire Officer,New Delhi,Full Time,Fire Department,06-Jan-23,5,5,5,5,5,5,5,Good  management  help full all employees,No
Associate Engineer,Jamshedpur,Contractual,"Operations, Maintenance & Support Department",05-Sep-23,5,5,5,5,5,5,5,All are good here. The best,Nothing as such.
Senior Manager Finance,"Pune, Maharashtra",Full Time,Finance Department,23-Feb,3,3,3,3,5,3,3,Retirement benefit and social security,More pressure on work and unnecessary complexity
